Wilfried Zaha,Crystal Palace,2014-2015,"defensive_0,passing_5,control_0,attack_5",0.0(0.0),1.6(0.372093023255814),0.1(0.02777777777777778),0.1(0.125),1.4(0.27450980392156865)
Jason Puncheon,Crystal Palace,2014-2015,"defensive_0,passing_4,control_4,attack_4",1.3(0.3023255813953489),0.7(0.1627906976744186),0.0(0.0),0.0(0.0),1.7(0.33333333333333337)
Martin Kelly,Crystal Palace,2014-2015,"defensive_4,passing_5,control_1,attack_2",0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Mile Jedinak,Crystal Palace,2014-2015,"defensive_4,passing_2,control_2,attack_1",0.9(0.20930232558139536),0.4(0.0930232558139535),0.2(0.05555555555555556),0.0(0.0),0.4(0.07843137254901962)
Adrian Mariappa,Crystal Palace,2014-2015,"defensive_2,passing_2,control_2,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Yannick Bolasie,Crystal Palace,2014-2015,"defensive_0,passing_0,control_0,attack_4",1.1(0.2558139534883721),1.1(0.2558139534883721),0.1(0.02777777777777778),0.1(0.125),1.9(0.37254901960784315)
Joe Ledley,Crystal Palace,2014-2015,"defensive_4,passing_5,control_2,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.2(0.03921568627450981)
Marouane Chamakh,Crystal Palace,2014-2015,"defensive_0,passing_0,control_5,attack_3",0.2(0.04651162790697675),0.5(0.11627906976744186),0.3(0.08333333333333333),0.0(0.0),0.7(0.13725490196078433)
Joel Ward,Crystal Palace,2014-2015,"defensive_4,passing_5,control_2,attack_2",0.3(0.06976744186046512),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Scott Dann,Crystal Palace,2014-2015,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),0.4(0.0930232558139535),0.5(0.1388888888888889),0.0(0.0),0.0(0.0)
Cameron Jerome,Crystal Palace,2013-2014,"defensive_0,passing_5,control_5,attack_5",0.6(0.13953488372093023),1.1(0.2558139534883721),0.4(0.11111111111111112),0.1(0.125),1.6(0.3137254901960785)
Damien Delaney,Crystal Palace,2013-2014,"defensive_3,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Jonathan Parr,Crystal Palace,2013-2014,"defensive_2,passing_5,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Dwight Gayle,Crystal Palace,2013-2014,"defensive_1,passing_5,control_4,attack_4",1.4(0.3255813953488372),1.2(0.27906976744186046),0.3(0.08333333333333333),0.2(0.25),1.5(0.29411764705882354)
Jason Puncheon,Crystal Palace,2013-2014,"defensive_0,passing_4,control_4,attack_4",1.4(0.3255813953488372),1.3(0.3023255813953489),0.1(0.02777777777777778),0.1(0.125),2.4(0.47058823529411764)
Marouane Chamakh,Crystal Palace,2013-2014,"defensive_0,passing_5,control_5,attack_3",0.0(0.0),0.5(0.11627906976744186),0.4(0.11111111111111112),0.0(0.0),0.3(0.058823529411764705)
Danny Gabbidon,Crystal Palace,2013-2014,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Dean Moxey,Crystal Palace,2013-2014,"defensive_2,passing_2,control_1,attack_2",0.5(0.11627906976744186),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Mile Jedinak,Crystal Palace,2013-2014,"defensive_4,passing_2,control_2,attack_2",0.5(0.11627906976744186),0.2(0.04651162790697675),0.2(0.05555555555555556),0.1(0.125),0.2(0.03921568627450981)
Adrian Mariappa,Crystal Palace,2013-2014,"defensive_2,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Yannick Bolasie,Crystal Palace,2013-2014,"defensive_0,passing_5,control_0,attack_5",0.8(0.186046511627907),1.3(0.3023255813953489),0.4(0.11111111111111112),0.0(0.0),1.7(0.33333333333333337)
Barry Bannan,Crystal Palace,2013-2014,"defensive_0,passing_4,control_1,attack_1",0.8(0.186046511627907),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),1.2(0.23529411764705882)
Joe Ledley,Crystal Palace,2013-2014,"defensive_2,passing_5,control_4,attack_2",0.2(0.04651162790697675),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),0.6(0.11764705882352941)
Kagisho Dikgacoi,Crystal Palace,2013-2014,"defensive_0,passing_2,control_2,attack_2",0.4(0.0930232558139535),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.6(0.11764705882352941)
Julian Speroni,Crystal Palace,2013-2014,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Joel Ward,Crystal Palace,2013-2014,"defensive_2,passing_5,control_2,attack_2",0.2(0.04651162790697675),0.3(0.06976744186046512),0.1(0.02777777777777778),0.0(0.0),0.4(0.07843137254901962)
Scott Dann,Crystal Palace,2013-2014,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
Damien Delaney,Crystal Palace,2015-2016,"defensive_3,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.5(0.11627906976744186),0.3(0.08333333333333333),0.0(0.0),0.1(0.019607843137254905)
Yohan Cabaye,Crystal Palace,2015-2016,"defensive_4,passing_4,control_4,attack_4",1.6(0.372093023255814),0.6(0.13953488372093023),0.0(0.0),0.0(0.0),1.3(0.25490196078431376)
Dwight Gayle,Crystal Palace,2015-2016,"defensive_0,passing_5,control_5,attack_5",0.5(0.11627906976744186),1.8(0.4186046511627907),0.2(0.05555555555555556),0.0(0.0),2.0(0.3921568627450981)
James McArthur,Crystal Palace,2015-2016,"defensive_4,passing_5,control_4,attack_2",0.4(0.0930232558139535),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.6(0.11764705882352941)
Connor Wickham,Crystal Palace,2015-2016,"defensive_0,passing_5,control_5,attack_5",0.5(0.11627906976744186),1.4(0.3255813953488372),0.7(0.19444444444444442),0.0(0.0),1.5(0.29411764705882354)
Jordon Mutch,Crystal Palace,2015-2016,"defensive_0,passing_5,control_4,attack_5",0.5(0.11627906976744186),1.4(0.3255813953488372),0.5(0.1388888888888889),0.0(0.0),1.2(0.23529411764705882)
Wilfried Zaha,Crystal Palace,2015-2016,"defensive_0,passing_0,control_0,attack_1",0.3(0.06976744186046512),0.8(0.186046511627907),0.0(0.0),0.0(0.0),1.0(0.19607843137254904)
Jason Puncheon,Crystal Palace,2015-2016,"defensive_0,passing_4,control_4,attack_1",1.0(0.23255813953488372),0.8(0.186046511627907),0.0(0.0),0.0(0.0),1.5(0.29411764705882354)
Martin Kelly,Crystal Palace,2015-2016,"defensive_2,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Wayne Hennessey,Crystal Palace,2015-2016,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Bakary Sako,Crystal Palace,2015-2016,"defensive_0,passing_5,control_0,attack_4",1.3(0.3023255813953489),1.3(0.3023255813953489),0.1(0.02777777777777778),0.1(0.125),2.1(0.411764705882353)
Mile Jedinak,Crystal Palace,2015-2016,"defensive_4,passing_2,control_2,attack_3",0.2(0.04651162790697675),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.1(0.019607843137254905)
Yannick Bolasie,Crystal Palace,2015-2016,"defensive_0,passing_5,control_0,attack_4",1.3(0.3023255813953489),1.0(0.23255813953488372),0.1(0.02777777777777778),0.0(0.0),2.0(0.3921568627450981)
Joe Ledley,Crystal Palace,2015-2016,"defensive_4,passing_2,control_1,attack_2",0.3(0.06976744186046512),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),0.5(0.09803921568627452)
Pape Souaré,Crystal Palace,2015-2016,"defensive_2,passing_5,control_4,attack_2",0.2(0.04651162790697675),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Joel Ward,Crystal Palace,2015-2016,"defensive_2,passing_2,control_2,attack_2",0.3(0.06976744186046512),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.5(0.09803921568627452)
Scott Dann,Crystal Palace,2015-2016,"defensive_3,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.7(0.1627906976744186),0.7(0.19444444444444442),0.0(0.0),0.1(0.019607843137254905)
Ben Gibson,Middlesbrough,2016-2017,"defensive_3,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Adam Forshaw,Middlesbrough,2016-2017,"defensive_0,passing_3,control_4,attack_1",0.7(0.1627906976744186),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.8(0.15686274509803924)
Álvaro Negredo,Middlesbrough,2016-2017,"defensive_1,passing_5,control_5,attack_5",0.5(0.11627906976744186),1.4(0.3255813953488372),0.5(0.1388888888888889),0.1(0.125),1.6(0.3137254901960785)
Calum Chambers,Middlesbrough,2016-2017,"defensive_3,passing_2,control_2,attack_2",0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Stewart Downing,Middlesbrough,2016-2017,"defensive_0,passing_4,control_1,attack_1",0.8(0.186046511627907),0.3(0.06976744186046512),0.1(0.02777777777777778),0.0(0.0),0.9(0.17647058823529413)
George Friend,Middlesbrough,2016-2017,"defensive_2,passing_2,control_4,attack_3",0.2(0.04651162790697675),0.5(0.11627906976744186),0.1(0.02777777777777778),0.0(0.0),0.6(0.11764705882352941)
Gastón Ramírez,Middlesbrough,2016-2017,"defensive_4,passing_0,control_0,attack_1",1.0(0.23255813953488372),0.8(0.186046511627907),0.2(0.05555555555555556),0.1(0.125),1.0(0.19607843137254904)
Adama Traoré,Middlesbrough,2016-2017,"defensive_0,passing_5,control_0,attack_2",0.3(0.06976744186046512),0.4(0.0930232558139535),0.0(0.0),0.1(0.125),0.5(0.09803921568627452)
Marten de Roon,Middlesbrough,2016-2017,"defensive_4,passing_2,control_2,attack_3",0.4(0.0930232558139535),0.5(0.11627906976744186),0.3(0.08333333333333333),0.0(0.0),0.7(0.13725490196078433)
Fabio,Middlesbrough,2016-2017,"defensive_4,passing_5,control_2,attack_2",0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Brad Guzan,Middlesbrough,2016-2017,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Daniel Ayala,Middlesbrough,2016-2017,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),0.6(0.13953488372093023),0.7(0.19444444444444442),0.0(0.0),0.0(0.0)
Antonio Barragán,Middlesbrough,2016-2017,"defensive_2,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Víctor Valdés,Middlesbrough,2016-2017,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Cristhian Stuani,Middlesbrough,2016-2017,"defensive_0,passing_5,control_5,attack_1",0.3(0.06976744186046512),0.9(0.20930232558139536),0.4(0.11111111111111112),0.0(0.0),1.1(0.21568627450980396)
Grant Leadbitter,Middlesbrough,2016-2017,"defensive_4,passing_5,control_1,attack_1",1.3(0.3023255813953489),0.4(0.0930232558139535),0.0(0.0),0.0(0.0),1.3(0.25490196078431376)
Adam Clayton,Middlesbrough,2016-2017,"defensive_4,passing_2,control_4,attack_2",0.3(0.06976744186046512),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Bernardo,Middlesbrough,2016-2017,"defensive_3,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Queensy Menig,PEC Zwolle,2015-2016,"defensive_0,passing_5,control_4,attack_5",0.9(0.20930232558139536),1.1(0.2558139534883721),0.1(0.02777777777777778),0.0(0.0),1.8(0.35294117647058826)
Ryan Thomas,PEC Zwolle,2015-2016,"defensive_0,passing_5,control_0,attack_1",0.7(0.1627906976744186),0.8(0.186046511627907),0.1(0.02777777777777778),0.0(0.0),0.9(0.17647058823529413)
Stef Nijland,PEC Zwolle,2015-2016,"defensive_0,passing_4,control_4,attack_4",2.2(0.5116279069767442),1.9(0.4418604651162791),0.0(0.0),0.0(0.0),3.5(0.6862745098039216)
Bram van Polen,PEC Zwolle,2015-2016,"defensive_4,passing_2,control_1,attack_2",0.4(0.0930232558139535),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.4(0.07843137254901962)
Rick Dekker,PEC Zwolle,2015-2016,"defensive_4,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Wouter Marinus,PEC Zwolle,2015-2016,"defensive_0,passing_5,control_4,attack_1",0.9(0.20930232558139536),0.9(0.20930232558139536),0.1(0.02777777777777778),0.0(0.0),1.7(0.33333333333333337)
Bart Schenkeveld,PEC Zwolle,2015-2016,"defensive_4,passing_2,control_2,attack_2",0.0(0.0),0.3(0.06976744186046512),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Kevin Begois,PEC Zwolle,2015-2016,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Ouasim Bouy,PEC Zwolle,2015-2016,"defensive_4,passing_3,control_4,attack_1",1.5(0.3488372093023256),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),1.0(0.19607843137254904)
Lars Veldwijk,PEC Zwolle,2015-2016,"defensive_1,passing_0,control_5,attack_5",0.4(0.0930232558139535),2.0(0.46511627906976744),0.6(0.16666666666666666),0.0(0.0),2.2(0.4313725490196079)
Mickey van der Hart,PEC Zwolle,2015-2016,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Thomas Lam,PEC Zwolle,2015-2016,"defensive_3,passing_2,control_1,attack_2",0.5(0.11627906976744186),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),0.3(0.058823529411764705)
Kingsley Ehizibue,PEC Zwolle,2015-2016,"defensive_4,passing_5,control_0,attack_1",0.5(0.11627906976744186),0.6(0.13953488372093023),0.4(0.11111111111111112),0.1(0.125),0.9(0.17647058823529413)
Sheraldo Becker,PEC Zwolle,2015-2016,"defensive_0,passing_0,control_0,attack_4",1.1(0.2558139534883721),1.2(0.27906976744186046),0.2(0.05555555555555556),0.0(0.0),2.2(0.4313725490196079)
Dirk Marcellis,PEC Zwolle,2015-2016,"defensive_2,passing_2,control_1,attack_2",0.2(0.04651162790697675),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Bart van Hintum,PEC Zwolle,2015-2016,"defensive_4,passing_4,control_1,attack_2",0.4(0.0930232558139535),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Wout Brama,PEC Zwolle,2015-2016,"defensive_4,passing_2,control_2,attack_2",0.4(0.0930232558139535),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Ryan Thomas,PEC Zwolle,2014-2015,"defensive_4,passing_0,control_0,attack_1",0.5(0.11627906976744186),0.7(0.1627906976744186),0.2(0.05555555555555556),0.1(0.125),1.1(0.21568627450980396)
Stef Nijland,PEC Zwolle,2014-2015,"defensive_1,passing_0,control_4,attack_5",1.2(0.27906976744186046),1.7(0.3953488372093023),0.2(0.05555555555555556),0.0(0.0),2.2(0.4313725490196079)
Bram van Polen,PEC Zwolle,2014-2015,"defensive_4,passing_3,control_1,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.2(0.03921568627450981)
Jody Lukoki,PEC Zwolle,2014-2015,"defensive_0,passing_4,control_0,attack_1",0.4(0.0930232558139535),0.5(0.11627906976744186),0.0(0.0),0.1(0.125),0.7(0.13725490196078433)
Maikel van der Werff,PEC Zwolle,2014-2015,"defensive_2,passing_3,control_1,attack_1",0.8(0.186046511627907),0.3(0.06976744186046512),0.1(0.02777777777777778),0.0(0.0),0.4(0.07843137254901962)
Mustafa Saymak,PEC Zwolle,2014-2015,"defensive_0,passing_5,control_3,attack_4",1.8(0.4186046511627907),0.7(0.1627906976744186),0.2(0.05555555555555556),0.0(0.0),2.1(0.411764705882353)
Tomas Necid,PEC Zwolle,2014-2015,"defensive_1,passing_5,control_5,attack_0",1.0(0.23255813953488372),2.3(0.5348837209302325),1.4(0.38888888888888884),0.1(0.125),2.7(0.5294117647058825)
Joost Broerse,PEC Zwolle,2014-2015,"defensive_3,passing_2,control_1,attack_2",0.6(0.13953488372093023),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Jesper Drost,PEC Zwolle,2014-2015,"defensive_0,passing_5,control_4,attack_1",0.5(0.11627906976744186),1.0(0.23255813953488372),0.3(0.08333333333333333),0.0(0.0),1.4(0.27450980392156865)
Thomas Lam,PEC Zwolle,2014-2015,"defensive_2,passing_2,control_2,attack_2",0.2(0.04651162790697675),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),0.5(0.09803921568627452)
Ben Rienstra,PEC Zwolle,2014-2015,"defensive_0,passing_2,control_4,attack_1",1.0(0.23255813953488372),0.4(0.0930232558139535),0.1(0.02777777777777778),0.0(0.0),1.3(0.25490196078431376)
Bart van Hintum,PEC Zwolle,2014-2015,"defensive_2,passing_4,control_1,attack_1",0.7(0.1627906976744186),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Wout Brama,PEC Zwolle,2014-2015,"defensive_2,passing_2,control_2,attack_2",0.3(0.06976744186046512),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Trent Sainsbury,PEC Zwolle,2014-2015,"defensive_3,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Warner Hahn,PEC Zwolle,2014-2015,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Ryan Thomas,PEC Zwolle,2013-2014,"defensive_0,passing_5,control_0,attack_1",0.5(0.11627906976744186),0.3(0.06976744186046512),0.1(0.02777777777777778),0.0(0.0),0.6(0.11764705882352941)
Stef Nijland,PEC Zwolle,2013-2014,"defensive_0,passing_0,control_4,attack_4",1.5(0.3488372093023256),0.8(0.186046511627907),0.1(0.02777777777777778),0.0(0.0),1.5(0.29411764705882354)
Bram van Polen,PEC Zwolle,2013-2014,"defensive_4,passing_2,control_1,attack_2",0.3(0.06976744186046512),0.3(0.06976744186046512),0.1(0.02777777777777778),0.0(0.0),0.5(0.09803921568627452)
Maikel van der Werff,PEC Zwolle,2013-2014,"defensive_2,passing_3,control_2,attack_1",0.9(0.20930232558139536),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.4(0.07843137254901962)
Mustafa Saymak,PEC Zwolle,2013-2014,"defensive_4,passing_5,control_4,attack_4",1.2(0.27906976744186046),0.8(0.186046511627907),0.2(0.05555555555555556),0.0(0.0),1.7(0.33333333333333337)
Mateusz Klich,PEC Zwolle,2013-2014,"defensive_4,passing_0,control_4,attack_1",1.0(0.23255813953488372),0.3(0.06976744186046512),0.1(0.02777777777777778),0.0(0.0),1.1(0.21568627450980396)
Guyon Fernandez,PEC Zwolle,2013-2014,"defensive_0,passing_5,control_5,attack_5",0.5(0.11627906976744186),2.4(0.5581395348837209),0.9(0.25),0.0(0.0),2.5(0.4901960784313726)
Giovanni Hiwat,PEC Zwolle,2013-2014,"defensive_0,passing_5,control_4,attack_5",0.4(0.0930232558139535),1.5(0.3488372093023256),0.1(0.02777777777777778),0.0(0.0),1.8(0.35294117647058826)
Kevin Begois,PEC Zwolle,2013-2014,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Rochdi Achenteh,PEC Zwolle,2013-2014,"defensive_2,passing_3,control_4,attack_2",0.6(0.13953488372093023),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Joost Broerse,PEC Zwolle,2013-2014,"defensive_3,passing_3,control_2,attack_2",0.4(0.0930232558139535),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Fred Benson,PEC Zwolle,2013-2014,"defensive_1,passing_5,control_4,attack_5",0.5(0.11627906976744186),2.0(0.46511627906976744),0.4(0.11111111111111112),0.0(0.0),2.5(0.4901960784313726)
Diederik Boer,PEC Zwolle,2013-2014,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Darryl Lachman,PEC Zwolle,2013-2014,"defensive_2,passing_3,control_1,attack_2",0.2(0.04651162790697675),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.2(0.03921568627450981)
Kamohelo Mokotjo,PEC Zwolle,2013-2014,"defensive_4,passing_3,control_3,attack_2",0.3(0.06976744186046512),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Jesper Drost,PEC Zwolle,2013-2014,"defensive_0,passing_0,control_4,attack_1",0.5(0.11627906976744186),0.8(0.186046511627907),0.1(0.02777777777777778),0.0(0.0),1.0(0.19607843137254904)
Thanasis Karagounis,PEC Zwolle,2013-2014,"defensive_0,passing_5,control_0,attack_1",0.9(0.20930232558139536),0.6(0.13953488372093023),0.0(0.0),0.0(0.0),1.4(0.27450980392156865)
Bart van Hintum,PEC Zwolle,2013-2014,"defensive_4,passing_2,control_1,attack_2",0.7(0.1627906976744186),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Giovanni Gravenbeek,PEC Zwolle,2013-2014,"defensive_4,passing_3,control_1,attack_2",0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Queensy Menig,PEC Zwolle,2016-2017,"defensive_0,passing_5,control_4,attack_5",0.7(0.1627906976744186),2.1(0.48837209302325585),0.0(0.0),0.1(0.125),2.5(0.4901960784313726)
